date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
20/06/25	15	NW	MIXR	NW_MIXR	4	996.9038112	271.0952935
20/06/25	15	NW	MIXR	NW_MIXR	5	1168.977704	297.6458635
20/06/25	15	NW	MIXR	NW_MIXR	6	718.8361494	273.8900903
20/06/25	15	NW	MIXR	NW_MIXR	7	1151.793748	309.9429696
20/06/25	15	NW	MIXR	NW_MIXR	8	852.2461399	278.3617653
21/06/25	16	NW	MIXR	NW_MIXR	1	1102.272709	323.6374741
21/06/25	16	NW	MIXR	NW_MIXR	2	870.7579477	272.2132122
21/06/25	16	NW	MIXR	NW_MIXR	3	922.7003621	280.5976027
21/06/25	16	NW	MIXR	NW_MIXR	4	792.9614895	266.6236185
21/06/25	16	NW	MIXR	NW_MIXR	5	1075.090814	296.248465
21/06/25	16	NW	MIXR	NW_MIXR	6	956.2090775	290.938351
21/06/25	16	NW	MIXR	NW_MIXR	7	813.4260197	284.789798
21/06/25	16	NW	MIXR	NW_MIXR	8	1271.612791	308.2660915
22/06/25	17	NW	MIXR	NW_MIXR	1	1206.626191	316.650482
22/06/25	17	NW	MIXR	NW_MIXR	2	890.2851712	283.9513589
22/06/25	17	NW	MIXR	NW_MIXR	3	1030.490635	299.3227416
22/06/25	17	NW	MIXR	NW_MIXR	4	874.5071746	273.331131
22/06/25	17	NW	MIXR	NW_MIXR	5	939.7281009	288.4230339
22/06/25	17	NW	MIXR	NW_MIXR	6	850.4496354	286.1871964
22/06/25	17	NW	MIXR	NW_MIXR	7	998.8565335	290.6588714
22/06/25	17	NW	MIXR	NW_MIXR	8	1139.686869	316.9299617
23/06/25	18	NW	MIXR	NW_MIXR	1	960.1145222	325.3143522
23/06/25	18	NW	MIXR	NW_MIXR	2	975.2676476	305.1918149
23/06/25	18	NW	MIXR	NW_MIXR	3	1421.503758	355.7776377
23/06/25	18	NW	MIXR	NW_MIXR	4	827.2512939	282.5539605
23/06/25	18	NW	MIXR	NW_MIXR	5	994.1699999	297.0869041
23/06/25	18	NW	MIXR	NW_MIXR	6	1147.497758	320.5631975
23/06/25	18	NW	MIXR	NW_MIXR	7	1370.108106	344.039491
23/06/25	18	NW	MIXR	NW_MIXR	8	989.4053574	330.0655068
24/06/25	19	NW	MIXR	NW_MIXR	1	1036.192585	337.6114583
24/06/25	19	NW	MIXR	NW_MIXR	2	1024.710577	348.2316863
24/06/25	19	NW	MIXR	NW_MIXR	3	1157.886241	373.6643375
24/06/25	19	NW	MIXR	NW_MIXR	4	1073.138091	312.7377664
24/06/25	19	NW	MIXR	NW_MIXR	5	864.665454	279.7591637
24/06/25	19	NW	MIXR	NW_MIXR	6	1204.673469	329.5065474
24/06/25	19	NW	MIXR	NW_MIXR	7	1500.549958	347.3932472
24/06/25	19	NW	MIXR	NW_MIXR	8	1012.291263	362.2056705
25/06/25	20	NW	MIXR	NW_MIXR	1	936.6818541	337.0524989
25/06/25	20	NW	MIXR	NW_MIXR	2	1071.575914	344.5984504
25/06/25	20	NW	MIXR	NW_MIXR	3	1153.04349	378.4154921
25/06/25	20	NW	MIXR	NW_MIXR	4	1013.462897	325.3143522
25/06/25	20	NW	MIXR	NW_MIXR	5	1009.01069	280.8770824
25/06/25	20	NW	MIXR	NW_MIXR	6	1245.211984	376.738614
25/06/25	20	NW	MIXR	NW_MIXR	7	1658.173706	350.7470034
25/06/25	20	NW	MIXR	NW_MIXR	8	1185.771116	380.3718499
26/06/25	21	NW	MIXR	NW_MIXR	1	1016.587252	351.5854425
26/06/25	21	NW	MIXR	NW_MIXR	2	1047.440265	342.6420926
26/06/25	21	NW	MIXR	NW_MIXR	3	1034.083645	326.4322709
26/06/25	21	NW	MIXR	NW_MIXR	4	1067.358033	312.4582867
26/06/25	21	NW	MIXR	NW_MIXR	5	1562.177875	340.4062551
26/06/25	21	NW	MIXR	NW_MIXR	6	1115.785547	372.5464188
26/06/25	21	NW	MIXR	NW_MIXR	7	1164.681715	378.6949718
26/06/25	21	NW	MIXR	NW_MIXR	8	1128.595406	353.8212799
27/06/25	22	NW	MIXR	NW_MIXR	1	1196.78447	354.659719
27/06/25	22	NW	MIXR	NW_MIXR	2	1129.220277	326.4322709
27/06/25	22	NW	MIXR	NW_MIXR	3	1172.023951	327.8296693
27/06/25	22	NW	MIXR	NW_MIXR	4	1285.359956	343.201052
